Epoka,Strata_treningowa,Strata_walidacyjna,Dokładność_treningowa,Dokładność_walidacyjna
1,2.2821914401772903,2.320320203425778,22.24744122307396,23.046172296622025
2,2.1289659255171474,2.1230214940514536,28.187229668964928,29.322406556066362
3,2.0307723636496555,2.035895647516676,31.994347137167573,30.821507095742554
4,1.9417309942310803,1.9583544423625727,34.7479765320543,35.03897661403158
5,1.8810664787684401,1.8936577165487465,36.95773200291208,37.33759744153508
6,1.8306925304948467,1.9012994196764224,39.05614320585842,36.358185088946634
7,1.7756731985366507,1.712702022616271,41.04321014089332,42.614431341195285
8,1.7365407724903055,1.6573669990156865,42.5335103421695,44.45332800319808
9,1.6874336107136452,1.5731864472863022,43.87392402894951,48.091145312812316
10,1.6428145754827213,1.6675590013100463,45.604042653419555,44.95302818309015
