Epoka,Strata_treningowa,Strata_walidacyjna,Dokładność_treningowa,Dokładność_walidacyjna
1,1.7834274164617878,2.1134006944811268,41.41150271936962,36.07835298820707
2,1.4130069234599807,1.6096273089942943,53.66793713331335,49.15050969418349
3,1.2361570422780024,1.296700717086435,59.60344310736157,58.92464521287228
4,1.0858651303265192,1.202487781893011,64.36126932465419,60.78352988207076
5,0.9632980824333348,1.2278425679838725,68.3439681384095,61.8828702778333
6,0.8427799633512758,1.2278846143270328,72.17249796582587,62.0027983210074
7,0.7144489029294824,1.3353093488580863,76.09952464562545,60.983409954027586
8,0.5952206820045431,1.393208385726947,80.29634705151814,62.742354587247654
9,0.4751715688468659,1.311640999277321,84.31758811185817,63.162102738356985
10,0.38302718017199266,1.436663998543006,87.18256177465634,64.28143114131521
