Epoka,Strata_treningowa,Strata_walidacyjna,Dokładność_treningowa,Dokładność_walidacyjna
1,2.278040946999641,2.4115737537574615,23.38657873324483,23.485908454927042
2,2.0752647844079424,2.150910228680653,31.137852768618046,31.32120727563462
3,1.9431958177318311,1.9134082610060454,35.27472056871226,36.897861283230064
4,1.8332972289764717,1.8600572109412237,39.33450387563702,40.23585848490905
5,1.7405756326570903,1.7943644749510819,42.49925056742752,41.115330801519086
6,1.6364902424485717,1.78871267455019,46.28067320457368,41.73495902458525
7,1.5506641092365736,1.6063894752389307,49.11138709262987,48.51089346392165
8,1.4557375502912966,1.5368919736545557,52.03203288938375,50.329802118728765
9,1.3509656673424864,1.4696219624702338,55.38520834225515,52.40855486707975
10,1.2487353333871658,1.4941545611449107,58.67842918932808,52.38856685988407
