Epoka,Strata_treningowa,Strata_walidacyjna,Dokładność_treningowa,Dokładność_walidacyjna
1,2.2605884161714007,2.2081053746733694,23.061110873196007,27.38356985808515
2,2.102699834679904,2.0134143958425827,28.803905614320588,31.24125524685189
3,2.007691296649306,1.910311619946911,32.68810757569269,36.75794523286029
4,1.922460865484525,1.8335281299178008,35.822876964583955,38.89666200279832
5,1.8558990169877876,2.2324063998119086,37.48875851141279,30.801519088546872
6,1.8099397690328833,1.7124999066826645,39.70279645411331,42.81431141315211
7,1.7517986287809397,1.6475442225576207,41.73268810757569,44.87307615430741
8,1.7095610711672535,1.7068542115817404,43.128773928311425,43.59384369378373
9,1.6655008717759014,1.6566135909432058,44.58481435484562,44.81311213272037
10,1.6251198541628171,2.3741148541782313,46.032289837694314,35.53867679392365
