Epoka,Strata_treningowa,Strata_walidacyjna,Dokładność_treningowa,Dokładność_walidacyjna
1,2.2546380516600935,2.2470913426891252,24.187400967838638,25.744553268039176
2,2.0498495417098477,2.1839131667355822,31.79735343240118,30.741555066959823
3,1.9224980413097226,1.9544343682611065,36.45240032546786,35.29882070757545
4,1.8213599067844757,1.749324110852685,39.79701083465376,42.014791125324805
5,1.731836919425285,1.712876299479205,42.829000899319084,44.41335198880672
6,1.6324509770902869,1.67055850960077,46.40914735985611,46.29222466520088
7,1.5431403097224563,1.706049295177885,49.00004282471843,44.45332800319808
8,1.4446873946549141,1.5122702841166478,52.177636932037174,50.84949030581651
9,1.3526615057089557,1.5651806734359948,55.14967239090403,50.52968219068559
10,1.246940013888764,1.5999642021918468,58.88398783777997,48.77073755746552
